t,Z,K,L,C,I,r,w,Y,goods_mkt,euler,walras
65,1.061116611996474e-05,0.00048805975169993277,-1.861905316359413e-05,4.737489019836042e-05,-3.3198387007947624e-05,-5.457586676607425e-06,2.918804515506562e-05,1.4176503190412182e-05,-6.098637220230962e-19,1.3552527156068805e-20,6.572975670693371e-19
66,9.550049507968268e-06,0.0004460504455272421,-1.6730085042383215e-05,4.2832194899121994e-05,-2.980781238019238e-05,-4.979357483041203e-06,2.648147612957041e-05,1.3024382518931858e-05,2.2429432443293873e-18,-7.030373462210693e-20,-2.15485181781494e-18
67,8.59504455717144e-06,0.0004082470682204024,-1.4975402918039419e-05,3.8684633372494925e-05,-2.6652116168658624e-05,-4.546241859419063e-06,2.403704890847102e-05,1.2032517203838133e-05,1.832979297858306e-18,-7.538593230563273e-20,-1.8295911660692887e-18
68,7.735540101454298e-06,0.00037433689548940606,-1.3339737409489859e-05,3.489425130545517e-05,-2.370399602548629e-05,-4.154728870383036e-06,2.1831693493613828e-05,1.119025527996388e-05,-5.000882520589389e-18,2.320870275476783e-19,5.041540102057596e-18
69,6.961986091308868e-06,0.000344041343300937,-1.1808432806990005e-05,3.14259927131639e-05,-2.0937129801233895e-05,-3.8016415887597926e-06,1.9844593189842632e-05,1.0488862911934302e-05,4.296151108473811e-18,-1.8211208365967457e-19,-4.262269790583639e-18
70,6.265787482177981e-06,0.0003171143379017886,-1.03673329157245e-05,2.824741162838688e-05,-1.8325971816624974e-05,-3.484119111530614e-06,1.8057007727462598e-05,9.921439811761567e-06,-3.3881317890172014e-19,5.929230630780102e-21,3.6930636500287495e-19
71,5.639208733960183e-06,0.00029334094042091346,-9.002662473435829e-06,2.5328398440635065e-05,-1.5845539033330404e-05,-3.1996005019233157e-06,1.6452114473860164e-05,9.482859407305931e-06,1.2705494208814505e-18,-5.844527336054672e-20,-1.294266343404571e-18
72,5.075287860564165e-06,0.0002725362312403285,-7.700903338339453e-06,2.2640919077565728e-05,-1.3471185670062096e-05,-2.9458107126976525e-06,1.5014866703797963e-05,9.169733407500956e-06,-2.676624113323589e-18,9.317362419797304e-20,2.6698478497455547e-18
73,4.567759074507749e-06,0.0002545444610497923,-6.448664440620261e-06,2.0158765168287535e-05,-1.1178364409527978e-05,-2.7207485486197473e-06,1.3731868027449726e-05,8.980400758761455e-06,1.8973538018496328e-18,-8.682087709356578e-20,-1.917682592583736e-18
74,4.1109831670569745e-06,0.00023923847759678538,-5.232544281056245e-06,1.785731326911598e-05,-8.94237192676213e-06,-2.522676732890292e-06,1.259126220483553e-05,8.914941342354465e-06,6.166399856011306e-19,-4.870439446712227e-20,-6.166399856011306e-19
75,3.6998848503512767e-06,0.00022651943962329822,-4.038984539267721e-06,1.5713291163685817e-05,-6.738076033567519e-06,-2.3501141527737937e-06,1.158263770575136e-05,8.975215130115827e-06,-2.4699480741935398e-18,1.342547221398066e-19,2.476724337771574e-18
76,3.329896365316149e-06,0.00021631683236626926,-2.8541131171208525e-06,1.3704549167783081e-05,-4.53962126644651e-06,-2.201830373803587e-06,1.0696946506427338e-05,9.16492790133683e-06,2.591920818598159e-19,-3.8116482626443515e-21,-2.473336205982557e-19
77,2.996906728784534e-06,0.00020858880231859313,-1.6635746850963746e-06,1.1809834271482645e-05,-2.3201092385193988e-06,-2.0768425297432644e-06,9.926436749076144e-06,9.489725032966709e-06,3.4626706883755798e-18,-1.4568966692773966e-19,-3.4474240953250024e-18
78,2.697216055906081e-06,0.00020332283274185838,-4.5234651586297036e-07,1.0008564833702074e-05,-5.124951876992064e-08,-1.9744147170709712e-06,9.264599029403492e-06,9.957315314927468e-06,-4.6857862642107895e-18,1.7364175418713157e-19,4.689174395999807e-18
79,2.427494450315473e-06,0.00020053678573919622,7.954629256236425e-07,8.280603403489445e-06,2.297023815884305e-06,-1.8940600483107486e-06,8.706126221439031e-06,1.0577627219375363e-05,1.6127507315721878e-18,-9.75300923672815e-06,-1.5983511714688647e-18
