t,nu_w,l,pi_w,activity_coefficient,activity_gap,labor_demand_coefficient,y,i,intertemporal_residual,lambda_w,kappa_w,wage_residual
10,2.44140625e-06,2.5164349704279255e-06,-5.54080022179056e-07,0.0,7.1718396657195866e-06,0.0,1.7615044792995477e-06,1.6102862167314162e-06,-2.117582368135751e-22,0.0,0.0,-1.0587911840678754e-22
11,1.220703125e-06,1.2582174852139627e-06,-2.7704001108952803e-07,0.0,3.5859198328597933e-06,0.0,8.807522396497739e-07,8.05143108365708e-07,0.0,0.0,0.0,-2.6469779601696886e-23
12,6.103515625e-07,6.291087426069814e-07,-1.3852000554476404e-07,0.0,1.7929599164298966e-06,0.0,4.4037611982488693e-07,4.0257155418285394e-07,5.293955920339377e-23,0.0,0.0,2.6469779601696886e-23
13,3.0517578125e-07,3.145543713034907e-07,-6.926000277238201e-08,0.0,8.964799582149483e-07,0.0,2.2018805991244347e-07,2.01285777091427e-07,0.0,0.0,0.0,6.617444900424222e-24
14,1.52587890625e-07,1.5727718565174534e-07,-3.4630001386191e-08,0.0,4.4823997910747416e-07,0.0,1.1009402995622173e-07,1.0064288854571351e-07,-1.3234889800848443e-23,0.0,0.0,-6.617444900424222e-24
15,7.62939453125e-08,7.863859282587267e-08,-1.7315000693095502e-08,0.0,2.2411998955373708e-07,0.0,5.504701497811087e-08,5.032144427285675e-08,0.0,0.0,0.0,-1.6543612251060553e-24
16,3.814697265625e-08,3.9319296412936335e-08,-8.657500346547753e-09,0.0,1.1205999477686854e-07,0.0,2.7523507489055433e-08,2.516072213642837e-08,3.308722450212111e-24,0.0,0.0,8.271806125530277e-25
17,1.9073486328125e-08,1.9659648206468168e-08,-4.328750173273876e-09,0.0,5.602999738843427e-08,0.0,1.3761753744527717e-08,1.2580361068214185e-08,1.6543612251060553e-24,0.0,0.0,4.1359030627651384e-25
18,9.5367431640625e-09,9.829824103234084e-09,-2.164375086636938e-09,0.0,2.8014998694217135e-08,0.0,6.880876872263858e-09,6.290180534107093e-09,8.271806125530277e-25,0.0,0.0,2.0679515313825692e-25
19,4.76837158203125e-09,4.914912051617042e-09,-1.082187543318469e-09,0.0,1.4007499347108567e-08,0.0,3.440438436131929e-09,3.1450902670535464e-09,4.1359030627651384e-25,0.0,0.0,1.0339757656912846e-25
20,2.384185791015625e-09,2.457456025808521e-09,-5.410937716592345e-10,0.0,7.003749673554284e-09,0.0,1.7202192180659646e-09,1.5725451335267732e-09,2.0679515313825692e-25,0.0,0.0,5.169878828456423e-26
21,1.1920928955078125e-09,1.2287280129042605e-09,-2.7054688582961727e-10,0.0,3.501874836777142e-09,0.0,8.601096090329823e-10,7.862725667633866e-10,1.0339757656912846e-25,0.0,0.0,2.5849394142282115e-26
22,5.960464477539063e-10,6.143640064521302e-10,-1.3527344291480864e-10,0.0,1.750937418388571e-09,0.0,4.3005480451649115e-10,3.931362833816933e-10,5.169878828456423e-26,0.0,0.0,1.2924697071141057e-26
23,2.9802322387695313e-10,3.071820032260651e-10,-6.763672145740432e-11,0.0,8.754687091942855e-10,0.0,2.1502740225824557e-10,1.9656814169084665e-10,2.5849394142282115e-26,0.0,0.0,6.462348535570529e-27
24,1.4901161193847657e-10,1.5359100161303256e-10,-3.381836072870216e-11,0.0,4.3773435459714273e-10,0.0,1.0751370112912279e-10,9.828407084542332e-11,1.2924697071141057e-26,0.0,0.0,3.2311742677852644e-27
25,7.450580596923828e-11,7.679550080651628e-11,-1.690918036435108e-11,0.0,2.1886717729857137e-10,0.0,5.3756850564561393e-11,4.914203542271166e-11,6.462348535570529e-27,0.0,0.0,1.6155871338926322e-27
