t,nu_w,l,pi_w,activity_coefficient,activity_gap,labor_demand_coefficient,y,i,intertemporal_residual,lambda_w,kappa_w,wage_residual
26,3.725290298461914e-11,-5.0057592720946e-11,-3.464027897980597e-12,0.0,-1.426641392546961e-10,0.0,-3.50403149046622e-11,3.2056861137648244e-11,0.0,0.0,0.0,-1.0097419586828951e-27
27,1.862645149230957e-11,-2.5028796360473e-11,-1.7320139489902985e-12,0.0,-7.133206962734805e-11,0.0,-1.75201574523311e-11,1.6028430568824122e-11,0.0,0.0,0.0,-5.048709793414476e-28
28,9.313225746154785e-12,-1.25143981802365e-11,-8.660069744951492e-13,0.0,-3.566603481367402e-11,0.0,-8.76007872616555e-12,8.014215284412061e-12,-1.6155871338926322e-27,0.0,0.0,-5.553580772755923e-28
29,4.656612873077393e-12,-6.257199090118248e-12,-4.3300348724757493e-13,0.0,-1.7833017406837005e-11,0.0,-4.380039363082774e-12,4.0071076422060306e-12,0.0,0.0,0.0,0.0
30,2.3283064365386963e-12,-3.1285995450591237e-12,-2.1650174362378754e-13,0.0,-8.9165087034185e-12,0.0,-2.1900196815413865e-12,2.003553821103015e-12,4.0389678347315804e-28,0.0,0.0,1.262177448353619e-29
31,1.1641532182693482e-12,-1.5642997725295619e-12,-1.0825087181189385e-13,0.0,-4.45825435170925e-12,0.0,-1.0950098407706932e-12,1.0017769105515074e-12,-2.0194839173657902e-28,0.0,0.0,-3.7865323450608567e-29
32,5.820766091346741e-13,-7.821498862647804e-13,-5.412543590594704e-14,0.0,-2.229127175854624e-12,0.0,-5.475049203853462e-13,5.008884552757535e-13,0.0,0.0,0.0,0.0
33,2.9103830456733704e-13,-3.9107494313238996e-13,-2.7062717952973644e-14,0.0,-1.1145635879273112e-12,0.0,-2.7375246019267296e-13,2.5044422763787656e-13,0.0,0.0,0.0,-7.888609052210118e-30
34,1.4551915228366852e-13,-1.955374715661947e-13,-1.3531358976486963e-14,0.0,-5.572817939636549e-13,0.0,-1.3687623009633628e-13,1.2522211381893808e-13,0.0,0.0,0.0,-7.888609052210118e-31
35,7.275957614183426e-14,-9.776873578309712e-14,-6.76567948824363e-15,0.0,-2.786408969818268e-13,0.0,-6.843811504816799e-14,6.261105690946881e-14,1.262177448353619e-29,0.0,0.0,3.1554436208840472e-30
