t,nu,x,pi_p,y,c,n,mrs,mpl,mc_gap,mc_slope,mc_identity_error,i,is_residual,omega_p,lambda_p,kappa_p,price_residual
47,1.7763568394002505e-17,-1.8409102089383174e-17,-6.25787958813175e-18,-1.8409102089383174e-17,-1.8409102089383174e-17,-2.4545469452510898e-17,-1.4113644935193766e-16,6.1363673631277245e-18,-1.4727281671506536e-16,0.0,0.0,6.075611250631984e-18,2.311115933264683e-33,0.0,0.0,0.0,-7.703719777548943e-34
48,8.881784197001253e-18,-9.204551044689604e-18,-3.1289397940615884e-18,-9.204551044689604e-18,-9.204551044689604e-18,-1.2272734726252805e-17,-7.056822467595362e-17,3.0681836815632013e-18,-7.363640835751682e-17,0.0,0.0,3.0378056253226686e-18,3.851859888774472e-34,0.0,0.0,0.0,1.5407439555097887e-33
49,4.440892098500626e-18,-4.60227552234013e-18,-1.564469897026806e-18,-4.60227552234013e-18,-4.60227552234013e-18,-6.1363673631201726e-18,-3.528411233794099e-17,1.5340918407800431e-18,-3.681820417872103e-17,0.0,0.0,1.5189028126679014e-18,3.851859888774472e-34,0.0,0.0,0.0,1.925929944387236e-34
50,2.220446049250313e-18,-2.3011377611620433e-18,-7.822349485101853e-19,-2.3011377611620433e-18,-2.3011377611620433e-18,-3.068183681549391e-18,-1.7642056168908998e-17,7.670459203873477e-19,-1.8409102089296343e-17,0.0,0.0,7.594514063397797e-19,9.62964972193618e-35,0.0,0.0,0.0,-1.4444474582904269e-34
51,1.1102230246251566e-18,-1.15056888056903e-18,-3.9111747425323367e-19,-1.15056888056903e-18,-1.15056888056903e-18,-1.5340918407587067e-18,-8.821028084362563e-18,3.835229601896767e-19,-9.204551044552239e-18,0.0,0.0,3.7972570317417735e-19,4.81482486096809e-35,0.0,0.0,0.0,4.81482486096809e-35
52,5.551115123125783e-19,-5.752844402680345e-19,-1.9555873712681829e-19,-5.752844402680345e-19,-5.752844402680345e-19,-7.670459203573793e-19,-4.4105140420549304e-18,1.9176148008934482e-19,-4.602275522144275e-18,0.0,0.0,1.8986285158884657e-19,4.81482486096809e-35,0.0,0.0,0.0,7.222237291452134e-35
53,2.7755575615628914e-19,-2.876422201127176e-19,-9.777936856647032e-20,-2.876422201127176e-19,-2.876422201127176e-19,-3.835229601502901e-19,-2.205257020864168e-18,9.588074003757253e-20,-2.3011377609017404e-18,0.0,0.0,9.493142579249396e-20,4.81482486096809e-35,0.0,0.0,0.0,3.611118645726067e-35
54,1.3877787807814457e-19,-1.4382111003020306e-19,-4.8889684290020635e-20,-1.4382111003020306e-19,-1.4382111003020306e-19,-1.9176148004027073e-19,-1.1026285102315567e-18,4.794037001006768e-20,-1.1505688802416243e-18,0.0,0.0,4.7465712889338236e-20,0.0,0.0,0.0,0.0,3.009265538105056e-36
55,6.938893903907229e-20,-7.191055498446505e-20,-2.4444842156399768e-20,-7.191055498446505e-20,-7.191055498446505e-20,-9.588073997928673e-20,-5.513142548808987e-19,2.3970184994821682e-20,-5.752844398757203e-19,0.0,0.0,2.3732856431414507e-20,6.018531076210112e-36,0.0,0.0,0.0,3.009265538105056e-36
56,3.469446951953614e-20,-3.595527745803379e-20,-1.2222421095016764e-20,-3.595527745803379e-20,-3.595527745803379e-20,-4.7940369944045046e-20,-2.75657127178259e-19,1.1985092486011261e-20,-2.8764221966427025e-19,0.0,0.0,1.1866428194756771e-20,-3.009265538105056e-36,0.0,0.0,0.0,0.0
